Stock;Index
CLSA3;GPTW IBRA IFNC IGCT IGCX IGNM ITAG SMLL
COCA34;BDRX
COCE5;IEEX
COGN3;IBOV IBRA IBXL IBXX ICON IGCT IGCX IGNM ITAG IVBX SMLL
C2OI34;BDRX
COLG34;BDRX
CMCS34;BDRX
CSMG3;IBRA IDIV IGCT IGCX IGNM ITAG SMLL UTIL
CPLE3;IBRA IDIV IGCT IGCX MLCX UTIL
CPLE6;GPTW IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX ISEE IVBX MLCX UTIL
COPH34;BDRX
C1TV34;BDRX
CSAN3;AGFS IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM ISEE ITAG IVBX MLCX
C1GP34;BDRX
COWC34;BDRX
CTNM4;ITAG
COTY34;BDRX
C1OU34;BDRX
CPFE3;IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX IGNM ISEE ITAG MLCX UTIL
CRDE3;ITAG
C1SU34;BDRX
CSED3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
CMIN3;IBOV IBRA IBXX IGCT IGCX IMAT ITAG MLCX
CARD3;IBRA IFNC IGCT IGCX IGNM ITAG SMLL
CRIP34;BDRX
CURY3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
CVCB3;IBOV IBRA IBXL IBXX ICON IGCT IGCX IGNM ITAG IVBX SMLL
CVSH34;BDRX
CYRE3;IBOV IBRA IBXL IBXX ICON IDIV IGCT IGCX IGNM IMOB INDX ITAG IVBX SMLL
DMVF3;IGCX IGNM ITAG
DHER34;BDRX
DASA3;GPTW IBRA ICON IGCT IGCX IGNM ITAG MLCX
D1DG34;BDRX
DEEC34;BDRX
DEAI34;BDRX
DESK3;IGCX IGNM ITAG
DBAG34;BDRX
D1VN34;BDRX
DXCO3;AGFS IBOV IBRA IBXX ICO2 IGCT IGCX IGNM IMAT INDX ISEE ITAG SMLL
D1EX34;BDRX
DEXP3;IBRA IGCT IGCX IMAT SMLL
DEXP4;IGCX
DEOP34;BDRX
F1AN34;BDRX
D1LR34;BDRX
PNVL3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
DIRR3;IBRA ICON IDIV IGCT IGCX IGNM IMOB INDX ITAG SMLL
D1OC34;BDRX
DGCO34;BDRX
DMMO3;IBRA SMLL
DOTZ3;IGCX IGNM ITAG
D1OW34;BDRX
E1TN34;BDRX
EBAY34;BDRX
E1CO34;BDRX
ECOR3;IBOV IBRA IBXX ICO2 IGCT IGCX IGNM ISEE ITAG SMLL
EAIN34;BDRX
ELET3;IBOV IBRA IBXL IBXX ICO2 IDIV IEEX IGCT IGCX ISEE IVBX MLCX UTIL
ELET6;IBOV IBRA IBXX ICO2 IDIV IGCT IGCX MLCX UTIL
ELMD3;IGCX IGNM ITAG
EMBR3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM INDX ITAG IVBX SMLL
ENAT3;IBRA IDIV IGCT IGCX IGNM ITAG SMLL
ENBR3;IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX IGNM ISEE ITAG SMLL UTIL
ENGI11;IBOV IBRA IBXX IEEX IGCT IGCX ITAG MLCX UTIL
ENEV3;IBOV IBRA IBXX ICO2 IEEX IGCT IGCX IGNM ITAG MLCX UTIL
EGIE3;IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX IGNM ISEE ITAG MLCX UTIL
ENJU3;IBRA IGCT IGCX IGNM ITAG SMLL
E1OG34;BDRX
EQTL3;IBOV IBRA IBXL IBXX IEEX IGCT IGCX IGNM ITAG IVBX MLCX UTIL
EQIX34;BDRX
E1QN34;BDRX
E1QR34;BDRX
E1RI34;BDRX
ESPA3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
E1SS34;BDRX
ALPK3;IGCX IGNM ITAG
ELCI34;BDRX
EUCA3;IGCX
EUCA4;IGCX
EVEN3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
EXXO34;BDRX
EZTC3;IBOV IBRA IBXX ICON IGCT IGCX IGNM IMOB INDX ITAG SMLL
FDXB34;BDRX
FHER3;IGCX IGNM ITAG
FESA3;IGCX
FESA4;IBRA IDIV IGCT IGCX IMAT INDX SMLL
F1NI34;BDRX
BPFF11;IFIX
AFHI11;IFIX
ALZR11;IFIL IFIX
ARCT11;IFIL IFIX
ARRI11;IFIX
AIEC11;IFIX
BARI11;IFIL IFIX
BBPO11;IFIL IFIX
