Stock;Index
VRTX34;BDRX
VIIA3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG IVBX SMLL
VBBR3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM ISEE ITAG IVBX MLCX
V1IP34;BDRX
VISA34;BDRX
VITT3;IGCX IGNM ITAG
VIVA3;IBRA ICON IGCT IGCX IGNM INDX ITAG SMLL
VVEO3;IGCX IGNM ITAG
VIVR3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
V1OD34;BDRX
V1NO34;BDRX
VULC3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
WALM34;BDRX
WGBA34;BDRX
DISB34;BDRX
W1BD34;BDRX
LVTC3;IGCX IGNM ITAG
WEGE3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM INDX ISEE ITAG MLCX
WFCO34;BDRX
WEST3;IGCX IGNM ITAG
PORT3;IGCX IGNM ITAG
W1IX34;BDRX
WIZS3;GPTW IBRA IBXX IDIV IFNC IGCT IGCX IGNM ITAG SMLL
YDUQ3;IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG SMLL
Z1TS34;BDRX
Z1OM34;BDRX
